------------------------------------------------------------------------------------------------------------------------
                                       PERSONAL REGISTRATION SCHEDULE
------------------------------------------------------------------------------------------------------------------------
INDEX|            NAME            |             CITY             |            ZIP CODE            |       PHONE
------------------------------------------------------------------------------------------------------------------------
  0  |       Gabriel Z. D.        |         Vitoria, ES          |            12345678            |    28999999999    |
  1  |        Joao do Grau        |         Rua Chapolin         |            69696969            |    11987654321    |
  2  |         Python>All         |            You PC            |            65498754            |    11010111101    |
  3  |          Jhon Doe          |           Anywhere           |            12332122            |    15975312112    |
  4  |          Jane Doe          |          Blind Spot          |          10001011101           |    12345678999    |
  5  |       Gabriel Z. D.        |         Vitoria, ES          |            12345678            |    28999999999    |
  6  |        Joao do Grau        |         Rua Chapolin         |            69696969            |    11987654321    |
  7  |         Python>All         |            You PC            |            65498754            |    11010111101    |
  8  |          Jhon Doe          |           Anywhere           |            12332122            |    15975312112    |
  9  |          Jane Doe          |          Blind Spot          |          10001011101           |    12345678999    |
 10  |       Gabriel Z. D.        |         Vitoria, ES          |            12345678            |    28999999999    |
 11  |        Joao do Grau        |         Rua Chapolin         |            69696969            |    11987654321    |
 12  |         Python>All         |            You PC            |            65498754            |    11010111101    |
 13  |          Jhon Doe          |           Anywhere           |            12332122            |    15975312112    |
 14  |          Jane Doe          |          Blind Spot          |          10001011101           |    12345678999    |
 15  |       Gabriel Z. D.        |         Vitoria, ES          |            12345678            |    28999999999    |
 16  |        Joao do Grau        |         Rua Chapolin         |            69696969            |    11987654321    |
 17  |         Python>All         |            You PC            |            65498754            |    11010111101    |
 18  |          Jhon Doe          |           Anywhere           |            12332122            |    15975312112    |
 19  |          Jane Doe          |          Blind Spot          |          10001011101           |    12345678999    |
 20  |       Gabriel Z. D.        |         Vitoria, ES          |            12345678            |    28999999999    |
 21  |        Joao do Grau        |         Rua Chapolin         |            69696969            |    11987654321    |
 22  |         Python>All         |            You PC            |            65498754            |    11010111101    |
 23  |          Jhon Doe          |           Anywhere           |            12332122            |    15975312112    |
 24  |          Jane Doe          |          Blind Spot          |          10001011101           |    12345678999    |
 25  |       Gabriel Z. D.        |         Vitoria, ES          |            12345678            |    28999999999    |
 26  |        Joao do Grau        |         Rua Chapolin         |            69696969            |    11987654321    |
 27  |         Python>All         |            You PC            |            65498754            |    11010111101    |
 28  |          Jhon Doe          |           Anywhere           |            12332122            |    15975312112    |
 29  |          Jane Doe          |          Blind Spot          |          10001011101           |    12345678999    |
